show balance, आम आइ शो बैलेंस,, Random Prediction
ticket sim se postpaid kaise karen, इसके पतन से पोस्टपेड कस कर रहे,, Incorrect Prediction of repetition of words
Airtel caller tune caller tune, एयरटेल कॉल को,, Incorrect Prediction of repetition of words
Airtel caller tune, एयरटेल कॉलरट्यू,, Similar Sounding Word Predicted
fast tag recharge Karne Ka Tarika bataiye, खास टैग रिचार्ज करने का तरीका बताई,, No mistake
data balance, डाटा बैलेंस,, No mistake
ticket sim se postpaid kaise karen, इसके पतन से पोस्टपेड कस कर रहे,,  Both model prediction and ground truth wrong
Mujhe payment karni hai, मुझे पेमेंट करनी है,, No mistake
how to activate caller tune, दो एक्टिवेट कलर टून,, Incorrect Prediction of repetition of words
account balance, अकाउंट दो बैलेंस,, Extra Words Predicted
"10,000", 101000  का हा बाह,, Extra Words Predicted
Mujhe data packs kharidna, मुझे डेटा पैक्स खरीदना,, No mistake
Mera offer kya hai, मेरा पर क्या है,, Incorrect Single Word Prediction
payment banks, पेमेंट बैंक्स,, No mistake
incoming calls, इनकमिंग कॉल्स,, No mistake
minimum wala recharge, मिनिमम वाला रिचार्ज,, No mistake
Mujhe peg details batao, मुझे पैक डिटेल बताओ,, No mistake
search, 40,, Doesnt pick up English
hello, हैलो,, No mistake
recharge, रिचार्ज,, No mistake
single channel ka recharge kaise karen, सिंगल चैनल का रिचार्ज कैसे करें,, No mistake
ek number ki call detail Kyon Nahin dikh rahi hai, इस नंबर के कॉल डिटेल की नहीं दिखा दी,,  Both model prediction and ground truth wrong
net Kyon Nahin chal raha hai, नेट क्यों नहीं चल रहा है,, No mistake
ISD services activate karo, आइ इस थीस से एक्टिवेट कर ल,, Doesnt pick up English
Mujhe papaji ka pin lock chahie, मुझे पर लो चाहिए,,  Both model prediction and ground truth wrong
account balance, बाउंट वें,, Random Prediction
Airtel SIM Pe free data pane Ke Liye video, एयरटेल सिह के फ्री डाटा पाने के लिए वीडियो,, Incorrect Single Word Prediction
please please play kare  Chhoti Anandi, प्लीस प्लीस प्ले कर छोटी आनंदी,, Similar Sounding Word Predicted
Airtel SIM Pe free data pane Ke Liye video, एयरटेल सिह के फ्री डाटा पाने के लिए वीडियो,, Incorrect Prediction of repetition of words
ISD services activate karo, आइ इस थीस से एक्टिवेट कर ल,, Incorrect Prediction of repetition of words
DND kya hai, डी एन डी क्या है,, No mistake
do not disturb service activate Karana hai, दो नो डिस्टर सर्विस एक्टिवेट कराना है,, No mistake
South Africa versus Sri Lanka, सॉर्ट ऑफ रिकवर सी से लंग,, Random Prediction
naya plan, नया प्लान,, No mistake
Pogo channel, तो वो चैनल की,,  Both model prediction and ground truth wrong
South Africa versus Sri Lanka, सॉर्ट ऑफ रिकवर सी से लंग,, Doesnt pick up English
kya kar rahi ho, ली क्या क्या सही और,,  Both model prediction and ground truth wrong
Thodi Hamari Sab per Bhari, कड़िया हमारी सब पर भारी,, Incorrect Single Word Prediction
kya kar rahi ho, ली क्या क्या सही और,,  Both model prediction and ground truth wrong
extra 2G data kab milega, एक्सप्रा टूजी डाटा कब मिलेगा,, Similar Sounding Word Predicted
Mujhe Main pakshi ke bare mein batao, मुझे नया पैक्स के बारे में बताओ,, Wrong Ground Truth
is number ki call and sms details, इससे नंबर की कोल एंड ए एसएमएस डिटेइलज,, Incorrect Prediction of repetition of words
Mera data balance kitna hai, मेरा डाटा बैलेंस कितना है,, No mistake
Mujhe Main pakshi ke bare mein batao, मुझे नया पैक्स के बारे में बताओ,, Wrong Ground Truth
you from you my has, वो फ्र्म यु माइ हाव,, Incorrect Single Word Prediction
249, दो फोटी 9,, No mistake
20 rupaye ka, 20 रुपये का,, No mistake
249, दो फोटी 9,, Doesnt pick up English
Dangal, के बंधन,, Incorrect Single Word Prediction
testing voice, डिस्टीन,,  Both model prediction and ground truth wrong
249, दो फोटी 9,, Similar Sounding Word Predicted
Dangal, के बंधन,, Random Prediction
Mujhe peg lao, मुझे पंजी ला,,  Both model prediction and ground truth wrong
Mera internet usage batao, मेरा दो में यूसेज बताओ,, Random Prediction
do not disturb service activate Karana hai, दो नो डिस्टर सर्विस एक्टिवेट कराना है,, Incorrect Single Word Prediction
account balance, अकाउंट बैलेंस,, No mistake
Sony Six, सोनी 6,, No mistake
Mera account balance batao, मेरा अकाउंट बैलेंस बता दो,, Wrong Ground Truth
my daily left data, माइ डेइली लेफ्ट डाटा,, No mistake
yes, येस,, No mistake
fast tag, फास्टेड,, Incorrect Prediction of repetition of words
kya aaj aap mere sath date per chalogi, क्या आज आप मेरे साथ डेट पर चलेंगी,, Wrong Ground Truth
Mera account balance batao, मेरा अकाउंट बैलेंस बताओ,, No mistake
balance kitne rate mein khatam hoga, बैलेंस कितनी 1 में खत्म होगा,, Doesnt pick up English
balance kitne rate mein khatam hoga, बैलेंस कितनी 1 में खत्म होगा,, Incorrect Single Word Prediction
Mujhe Mera account balance bata do, मुझे मेरा अकाउंट बैलेंस बता दो,, No mistake
Mera data balance Kitna bacha hai, मेरा डाटा बैलेंस कितना बचा है,, No mistake
plan detail chahie, प्लान डिटेल चाहिए,, No mistake
Hamare phone ka Kitna internet bacha hai, हमारे फ़ोन का कि नट बचा है,, Incorrect Single Word Prediction
internet Nahin chal raha hai, इंटरनेट नहीं चल रहा,, Last word verb missing
data balance, डाटा बैलेंस,, No mistake
yeah, यास,, Wrong Ground Truth
DND request, डी एन दो गेस्ट,, Incorrect Prediction of repetition of words
membership, मेंबरशिप,, No mistake
recharge, रिचार्ज,, No mistake
Punjabi song, क्या 20,, Random Prediction
I have gold membership of Airtel thanks app should I be eligible for wink hello tune, आइ हाव गुड मेंबर ऑफ इट डज़ टैंक मी शुड आइ बिलिजिबल फॉर रिंक पडन,, Random Prediction
he turned sharply and faced direction across the table, ही टर्न्ड शेप्ली एंड फेस ग्रेसन ऐक्रॉस द टेबल,, Incorrect Prediction of repetition of words
data pack batao, डाटा पैक बताओ,, No mistake
he turned sharply and faced direction across the table, ही टर्न्ड शेप्ली एंड फेस ग्रेसन ऐक्रॉस द टेबल,, Similar Sounding Word Predicted
sim upgradation three ji from Fauji, सिम ग्रेडेशन तेजी फ्र्म कोर्टी,,  Both model prediction and ground truth wrong
Mujhe America jana hai visa Kaise lagwaye, मुझे अमेरिका जाना है वीजा कैसे लगा,, Incorrect Single Word Prediction
data balance, डाटा बैलेंस,, No mistake
Mujhe America jana hai visa Kaise lagwaye, मुझे अमेरिका जाना है वीजा कैसे लगा,, Similar Sounding Word Predicted
data balance, डाटा बैलेंस,, No mistake
hello, ला,, Doesnt pick up English
hello tune Kaise set Karen, हेलो डोंट कैसे सेव करें,, Extra Words Predicted
mera mobile number, मेरा मोबाइल नंबर,, No mistake
account balance, का बैलेंस,, Doesnt pick up English
main plans, ने प्लान्स,,  Both model prediction and ground truth wrong
DND request, डी एन दो गेस्ट,, Doesnt pick up English
recharge, रिचार्ज,, No mistake
account balance, का बैलेंस,, Incorrect Single Word Prediction
I want to know my account balance, आइ वांट दो मू माइ अकाउंट बैलेंस,, Incorrect Prediction of repetition of words
I want to check my office, आइ वांट दो चेक राय हॉर्स,, Random Prediction
Wi-Fi pack, वाई 5 बेक,, Doesnt pick up English
free data, श्री नाका,, Random Prediction
so, 100,, Wrong Ground Truth
Tata balance, डाटा बैलेंस,, Wrong Ground Truth
Nihal, नेहा,, Last word verb missing
data pack, डाटा बैग,, Incorrect Single Word Prediction
mahine ka recharge kitne ka hota hai, मेने का स्टार्ज ने का होता है,, Doesnt pick up English
Himachal news taaja samachar, माल न्यूज पदा समाचार,, Random Prediction
I want to play games, आइ वांट दो प्ले गेम्स,, Incorrect Single Word Prediction
data balance, डाट ऑफ एनी,, Random Prediction
mahine ka recharge kitne ka hota hai, मेने का स्टार्ज ने का होता है,, Incorrect Single Word Prediction
Nihal, नेहा,, Incorrect Single Word Prediction
mahine ka recharge kitne ka hota hai, मेने का स्टार्ज ने का होता है,, Incorrect Prediction of repetition of words
OTP Kyon Nahin a raha hai, को टीपी क्यों नहीं आ रहा है,, Incorrect Single Word Prediction
Mere Airtel mobile per offer bataen, मेरे ए टेल मोबाइल पे ऑफर बताएं,, Incorrect Single Word Prediction
kya, येस,, Wrong Ground Truth
I am sorry, आइ आम सॉरी,, No mistake
Mere Airtel mobile per offer bataen, मेरे ए टेल मोबाइल पे ऑफर बताएं,, No mistake
customer care number, कस्टमर केयर नंबर,, No mistake
yes Ham data use kar pa Rahe, येस आम डाटा वास गोट पानी,, Incorrect Prediction of repetition of words
399 ka, 399 का,, No mistake
I want to know my account balance, आइ वांट दो मू माइ अकाउंट बैलेंस,, Incorrect Prediction of repetition of words
mujhe mere plan ke bare mein batao, मुझे मेरे प्लान के बारे में बताओ,, No mistake
call detail Kaise nikale, और डिटेल का निकलां,, Incorrect Prediction of repetition of words
99 ka, 99 का,, No mistake
account balance, अकाउंट बैलेंस,, No mistake
hello tune Kaise set Karen, हेलो डोंट कैसे सेव करें,, Wrong Ground Truth
I can't access internet, आइ कार्ड एक्सेस इंटरनेट,, Incorrect Single Word Prediction
mujhe mere data balance batao, मुझे मेरा डाटा बैलेंस बताओ,, No mistake
main 449 wala recharge karna hai jaldi kijiye, मैने 400 उना वाला रिचार्ज करना है जल्दी कीजिये,, Incorrect Single Word Prediction
Mera last recharge, मेरा लास्ट रिचार्ज,, No mistake
portfast, सब स्ट,, Random Prediction
"10,000", 101000  का हा बाह,, Random Prediction
cartoon natak,,, No mistake
account balance, अकाउंट बैलेंस,, No mistake
caller ringtone, कलरिंग डाउन,, Random Prediction
Disney XD channel, वाट इस एक्स्ड जेनर,, Random Prediction
Mera offer kya hai, मेरा पर क्या है,, Random Prediction
KYC Kaise update Karen, केवाईसी कैसे डेट करें,, Incorrect Single Word Prediction
DND register karna hai, डी एन डी रजिस्टर करना है,, No mistake
account balance, अकाउंट बैलेंस,, No mistake
yes, येस,, No mistake
balance kitna hai data, बैलेंस कितना डाटा,, P instead of B
payment banks, पेमेंट बैंक्स,, No mistake
data balance, डाटा बैलेंस,, No mistake
balance kitna hai data, बैलेंस कितना डाटा,, Incorrect Single Word Prediction
han, हा,, No mistake
data balance, डाटा बैलेंस,, No mistake
nai plant, नेपल,, Incorrect Prediction of repetition of words
hello tune Kaise set Karen, हेलो डोंट कैसे सेव करें,, Doesnt pick up English
naya Tower lagwane ke liye kahan apply Karen, नया टावर लग होने के लिए कहा प्लाई करें,, Incorrect Prediction of repetition of words
kab tak kam Karegi Ham net Kyon Nahin Chala Pa Rahe, कब तक काम करेगी हमने क्यों नहीं चला पारे,, Incorrect Prediction of repetition of words
Tum Hamesha Aise karte ho pahle Mera Dil todte Ho ringtone, तुम हमेशा से कर पहले मेरा दिल तोड़ तेरिंग टॉन,, Incorrect Prediction of repetition of words
Mujhe Africa ka roaming packs dikha do, मुझे अफ्रीका का रोमिंग पैक्स दिखा दो,, Wrong Ground Truth
account balance, काउंट बैलेंस,, Random Prediction
naya plan, नया प्लान,, No mistake
I am putting my SIM on jio, आईएम पोटिंग मिसिंग ऑन जियो,,  Both model prediction and ground truth wrong
account balance, काउंट बैलेंस,, Incorrect Single Word Prediction
how to recharge Airtel fast tag, हाउ डु रिचार्ज एयरटेल फर्स्ट टाइम,, Incorrect Single Word Prediction
call details, कॉल डिटेल्स,, No mistake
ho jayegi, यह जाएगी,, Random Prediction
Airtel payment Bank Kaise chalayen, एयरटेल पेमेंट बैंक कैसे चलाए,, No mistake
data plan bataiye, डाटा प्लान बताइए,, No mistake
main recharge karaya tha aur usmein 18 Din Mein Teen Char Din pahle aur jismein safety kara expiring birthday, मैंने ही छाल कराया था और उसमें आता इन मिटेड 3 टर्न डालें और आस आ मिसिव दो गेट एक्सपर्ड इन मंडी,,  Both model prediction and ground truth wrong
is number ki call detail Kyon Nahin dikh rahi hai, थिस नंबर कोर्टेड कमान लिटि,, Random Prediction
yah hai kya Chakkar Ke Bande Ko fuddu Bana Ke Rakha hua kya Sikh rahi hun, यह है कि चक्कर के मंदी फ़ डु यु बन आइ गेट ए को किसी यु,,  Both model prediction and ground truth wrong
bottle gourd, बोथर गार्ड,, Incorrect Prediction of repetition of words
bottle gourd, बोथर गार्ड,, Incorrect Single Word Prediction
recharge, रिचार्ज,, No mistake
account, अकाउंट बैलेंस,, Wrong Ground Truth
how to convert three G SIM to four G Sim, हाउ डु कॉन्वर्ड दो यु सीम 204 डिसिन,, Incorrect Prediction of repetition of words
how to recharge Airtel fast tag, हाउ डु रिचार्ज एयरटेल फर्स्ट टाइम,, Random Prediction
Mera 5 GB extra data kahan chala gaya, मेरा 5 जीबी स्टार डाटा कहां चला गया,, Incorrect Single Word Prediction
Kuchh poochh raha hun main kya bol rahi hai, कुछ पूछ रोम क्या बोली है,, Incorrect Prediction of repetition of words
Tata valence, डाटा रिल,,  Both model prediction and ground truth wrong
when done the velocities, व्हेन थेन द वेल डीस,,  Both model prediction and ground truth wrong
Star Sports,,, No mistake
Ek Achcha Sa song, 1 सफल,, Random Prediction
Sone mein kitne, फोन में कितने,, Doesnt pick up English
Airtel ka data board kitne rupaye ka lagta hai, एयरटेल का डाटा गोल्ड कितने बेक लगता है,,  Both model prediction and ground truth wrong
10, 10,, No mistake
yaar kya bol rahe ho Hindi mein bolo, यार क्या बोल रहे हिंदी ने बोलो,, Similar Sounding Word Predicted
network, नास,, Random Prediction
Airtel ka data kab hoga, जी 1 का कम स,,  Both model prediction and ground truth wrong
Airtel ka data board kitne rupaye ka lagta hai, एयरटेल का डाटा गोल्ड कितने बेक लगता है,, Incorrect Prediction of repetition of words
recharge, पर चार्ज,, Wrong Ground Truth
DND react request, डीएनडीए रिकवेस्ट,, Incorrect Single Word Prediction
Ek Akela Channel ka recharge kaise karen, 1 केले चैनल का विचार्ज कैसे करें,, Incorrect Single Word Prediction
account balance, काउंट ऑफ बैलेंस,, Random Prediction
and detail, 1 डिटेइल,, Fast Spoken Sentence
validity kab tak hai, वैलिटी कब तक है,, Incorrect Single Word Prediction
recharge, रिचार्ज,, No mistake
account balance, अकाउंट ब्लास,, Incorrect Single Word Prediction
Kumkum Bhagya serial natak, कल को भाग्य सीरयल नाटक,, Incorrect Single Word Prediction
recharge, रिचार्ज,, No mistake
account, का,, Wrong Ground Truth
1 GB mil sakti hai, 1 जीवी मिल सकती है,, No mistake
last date off data balance, लास्ट डेट और डाटा बैलेंस,, Doesnt pick up English
1 GB mil sakti hai jaldi jaldi, 1 जीबी मिल सकती है जल्दी जल्दी,, No mistake
add money, एड मनी,, No mistake
kya set Karenge Hindi mein let Out karke dijiye, क्या सेट करेंगे हिंदी मिले छाट करके दीजिए,, Incorrect Prediction of repetition of words
account balance, अकाउंट है,, Random Prediction
add money, एड मनी,, Similar Sounding Word Predicted
5 GB 7 days in free recharge Airtel, लाइक जी 7 डैस इन फ्री रिचार एजेंस,, Random Prediction
abhi chahie, अभी चाहिए,, No mistake
Airtel customer care number, एयरटेल कस्टमर केयर नंबर,, No mistake
kya set Karenge Hindi mein let Out karke dijiye, क्या सेट करेंगे हिंदी मिले छाट करके दीजिए,, Incorrect Single Word Prediction
account balance, अकाउंट द बैलेंस,, Extra Words Predicted
hello, हैलो,, No mistake
account balance, एकाउंट वेल,, Random Prediction
Bihar mein kya ho raha hai uska video, बिहार में क्या हो रहा है बिस्क वीडियो,, Random Prediction
account balance, अकाउंट बैलेंस,, No mistake
Naiyaandi to Quest, ली एन डी वर्स्ट,, Doesnt pick up English
account balance, एकाउंट बैलेंस,, No mistake
149 ka recharge, 149 का चार्ज,, Incorrect Single Word Prediction
account balance, अकाउंट बैलेंस,, No mistake
Tata balance, अकाउंट बैलेंस,,  Both model prediction and ground truth wrong
he turned sharply and faced direction across the table, ही टर्न्ड शेप्ली एंड फेस ग्रेसन ऐक्रॉस द टेबल,, Wrong Ground Truth
data balance, डाटा बैलेंस,, No mistake
it salary increase, इट्स सैलरी इन क्रि,, Last word verb missing
Tetra Pack khatm hone ki date, 8 द बाक समाप्त की डेट,,  Both model prediction and ground truth wrong
Mujhe prepaid SIM postpaid convert Karna Hai Zara procedure, मुझे प्रीपेड का पोस्टपेड कॉन्वर्ट करना है जरा प्रोसेसर बता,,  Both model prediction and ground truth wrong
disturb, 10 व,,  Both model prediction and ground truth wrong
149, 149,, No mistake
10, 10,, No mistake
149 ka recharge, 149 का चार्ज,, Doesnt pick up English
deactivate, डीडीएक्टिवेट,, Wrong Ground Truth
very status morning did you think, ऑफ वेरी प्रेस मॉर्निंग डिड यु टीटी,, Similar Sounding Word Predicted
149 ka recharge, 149 का चार्ज,, Incorrect Single Word Prediction
10 rupaye ka, 10 रुपये का,, No mistake
very status morning did you think, ऑफ वेरी प्रेस मॉर्निंग डिड यु टीटी,, Random Prediction
Sony Pal Indian Idol, सो निपल इंडियन इडल,, Random Prediction
DND request, डी एंड रीक्वेस्ट,, Doesnt pick up English
149 unlimited plan ki jankari batao, 149 अनलिमिट प्लान की जानकारी बताओ,, Incorrect Single Word Prediction
very status morning did you think, ऑफ वेरी प्रेस मॉर्निंग डिड यु टीटी,, Incorrect Prediction of repetition of words
149 unlimited plan ki jankari batao, 149 अनलिमिट प्लान की जानकारी बताओ,, Similar Sounding Word Predicted
ek mahine ki daily 2GB, टेक में ने की डेली गोजी भी,, Incorrect Prediction of repetition of words
account balance, अकाउंट वेल,, Incorrect Single Word Prediction
1 1 MB Hamen mil sakti hai, 11  एमबी हमें मिल सकती है,, Incorrect Single Word Prediction
1 mahine ka recharge kitne ka hota hai, इस महीने का विचार्ज करने का होता है,, Incorrect Prediction of repetition of words
149, 149,, No mistake
so rupaye, सोरपे,, Similar Sounding Word Predicted
account balance, अकाउंट बैलें,, Incorrect Single Word Prediction
check my internet speed, चेक माइ इंटरनेट स्पीड,, Similar Sounding Word Predicted
so rupaye, 100 रुपय,, Wrong Ground Truth
one month back, 1 मंथ बैक,, Similar Sounding Word Predicted
recharge balance, रिचार्ज बैलेंस,, No mistake
XXX, 17  सोक्स,, Doesnt pick up English
so rupaye, सोरपे,,  Both model prediction and ground truth wrong
18 rupaye, पता व,, Random Prediction
one month back, 1 मंथ बैक,, Incorrect Single Word Prediction
so rupaye ka, 100 रुपये का,, Wrong Ground Truth
hazar rupaye, 1000 रुपय,, No mistake
Discovery, थिस कमर,, Doesnt pick up English
Birla, 20 महा,,  Both model prediction and ground truth wrong
200 ka recharge card, 200 चार्ज क,,  Both model prediction and ground truth wrong
20 rupaye ka, 20 रुपये का,, Similar Sounding Word Predicted
20 rupaye ka, 20 रुपये का,, No mistake
279, 2079,, Incorrect Single Word Prediction
Meri sim coriolanus Airtel Mein Dal dijiye, मेरी सिम को रिलेस एयरटेल में डाल दीजिये,, Wrong Ground Truth
Vodafone, बड़ा व हाई,,  Both model prediction and ground truth wrong
278 ke recharge per Bima kaise hota hai, दोषों और ठक्कर के रिचार पर बीमा कैसे होता है,, Random Prediction
check my internet speed, चेक माइ इंटरनेट स्पीड,, No mistake
200, 200,, No mistake
BA second year result, 20 ऑफ स,,  Both model prediction and ground truth wrong
150 ka, 104 का,, Incorrect Single Word Prediction
279, 2079,, Extra Words Predicted
249 ka recharge, 249 का रिचार्ज,, No mistake
220 ka, 220 का,, No mistake
19 rupees Star Plus, 19 रुपीस कार्लस,, Doesnt pick up English
do sau ka recharge kar do, 200 का रिचार्ज कर दो,, No mistake
bhai Humne ise sign up kiye 5 GB data to Mila Nahin Hamen, बाइ हम इस आ न किया पान की वी डाट को मिलानी मे,, Random Prediction
249 wala karaya, 249 लक कराया,, Incorrect Prediction of repetition of words
200, 200,, No mistake
199, 199,, No mistake
219, 2019,, Extra Words Predicted
399, 399,, No mistake
399, 399,, No mistake
300, 300,, No mistake
300, 300,, No mistake
249 ke recharge ke bad Ham Apna 5 GB data kaise prapt kar sakte hain, बोस जासके चास के बाद हम अपना पाजीबी डाटा कैसे प्राप्त कर सकते हैं,, Incorrect Prediction of repetition of words
399, 399,, No mistake
200 se upar ka, दोनों से ऊपर का,, Incorrect Single Word Prediction
399, 399,, No mistake
380 ka recharge kar do, 300 सी का रिचार्ज कर दो,, Random Prediction
399, 3 नानाइन,, No mistake
account balance, अकाउंट बैलेंस,, Similar Sounding Word Predicted
recharge, रिचार,, Doesnt pick up English
roaming pack, रोमिंग पैक,, No mistake
399, 399,, No mistake
yes, पीस,, Random Prediction
45, 45,, No mistake
399, 399,, No mistake
380 ka recharge kar do, 300 सी का रिचार्ज कर दो,, Incorrect Single Word Prediction
Mujhe Africa ka roaming packs, मुझे अफ्रीका का रोमिंग पैक सिखा दो,, Incorrect Prediction of repetition of words
399 rupaye, 399 रुपये,, No mistake
278 ke recharge per Bima kaise hota hai, 200 और हत्तर के विचार पर बीमा कैसे होता है,, Incorrect Prediction of repetition of words
3 GB ka data lene ke liye kitne rupaye ka recharge karna padta hai please Hamen bataiye, 3 जीवी का डाटा लेने के लिए कितने रुप कर चार्ज करना पड़ता है पीस बताय,, Incorrect Single Word Prediction
Freecharge, 4,,  Both model prediction and ground truth wrong
my plan, माइ प्लान,, No mistake
De, बे,,  Both model prediction and ground truth wrong
48 ka recharge, 48 का रिचार्ज,, No mistake
do teen din se network bahut slow chal raha hai, दो के दिन से नेटवर्क बोहत स्लो चल रहा है,, No mistake
how to get free internet, हाउ दो गेट 3 इंटरनेट,, Incorrect Prediction of repetition of words
399, 3 नानाइन,, Random Prediction
450 wala kiya tha, 4 को 50 वाला किया था,, Doesnt pick up English
recharge, रिचा,, Doesnt pick up English
3999 rupaye ka balance batao, 3009 निन ने रुपये का बैलेंस बताओ,, No mistake
49, 49,, No mistake
Freecharge, रिचार्ज,, Similar Sounding Word Predicted
48, 48,, No mistake
5 GB data free, 5 जीवी डाटा फ्री,, Similar Sounding Word Predicted
249 ka recharge karaen hun Airtel SIM per 62 328 ka recharge kab khatm ho raha hai, ही दूर सो एंड जक ईच अथर गुड आइ होल ए दिल सीम बियर बार 10 डिस्पांस दो द इस का रिचार्ज को खत्म हो रहा है,, Incorrect Prediction of repetition of words
49, 49,, No mistake
Star Plus dikhayen, सार कर दिखाएं,, Random Prediction
5gb data, 5 जीबी डाटा नहीं मिला,, Wrong Ground Truth
448, 440 ट,, Extra Words Predicted
5 GB data free mila tha vah kahan per hai, 5 जीबी डाटा फ्री मिला था वो काम पर है,, Incorrect Single Word Prediction
598 ka recharge, 5098  गाडी चर्च,, Incorrect Prediction of repetition of words
499 rupaye, 400 निन्यान में रुपए,, Incorrect Prediction of repetition of words
449 wala recharge Kiya Hai vah kab khatm hoga, 4 सोन दजर् पी व रिचार्ज किया है वो कब खत्म होगा,, Incorrect Prediction of repetition of words
50 ka recharge kar do, 50 का रिचार्ज कर दो,, No mistake
250  250, 250  दो हाव य,, Doesnt pick up English
500, 500,, No mistake
249, 249,, No mistake
448, 4048,, Incorrect Prediction of repetition of words
249, 249,, No mistake
448, 4048,, Incorrect Single Word Prediction
50, 50,, No mistake
99, 99,, No mistake
5 GB free data Kaise milega, 5 टीवी फ्री डाटा कैसे मिलेगा,, Doesnt pick up English
5 GB free data Kaise Paye, फाउंड गिव यु फ्री डाटा से बा,, Random Prediction
5 GB free data Kaise milega, 5 टीवी फ्री डाटा कैसे मिलेगा,, Incorrect Single Word Prediction
699 ka, 600 निन्यानवेता,, Doesnt pick up English
82 days ke liye, 1 टी दो देश के लिए,, Doesnt pick up English
5 GB extra data Kaise milega, पा जीवी एस डाटा कैसे मिलेगा,, Incorrect Prediction of repetition of words
do teen bar Maine recharge Kiya detail field a rahi hai, 23  बार मैंने रिचार्ज किया डिटेल फेल्ड आ रही है,, Incorrect Prediction of repetition of words
98192 958 ka balance, अट्ठान में 1 सस्तावन में 958 का बैलेंस,,  Both model prediction and ground truth wrong
5 9 8 ka recharge Karen main balance se, 59  8 का रिचार्ज करे मीन बेलेन सी,, Doesnt pick up English
yes, येस,, No mistake
48 wala recharge, 48 वाला रिचार्ज,, No mistake
account balance, अकाउंट ब्लेड,, Incorrect Single Word Prediction
Star Plus, स्टार प्लेस,, Similar Sounding Word Predicted
Star Plus, स्टार प्लेस,, Incorrect Single Word Prediction
delete, आज की लाइफ में से और वरीज 2079,, Wrong Ground Truth
data speed Kaise badhaen, डाटा स्पीड कैसे ह,, Random Prediction
data balance, डाटा बैलेंस,, No mistake
account, अकाउंट बत,, Incorrect Single Word Prediction
Mujhe bill bharna hai, मुझे बिल भरना है,, No mistake
bill detail, बिल डिटेइल,, Last word verb missing
312, 300 रुप वा,,  Both model prediction and ground truth wrong
bill detail, बिल डिटेइल,, Similar Sounding Word Predicted
Airtel TV app, इट टीवी हाव,, Doesnt pick up English
urgent, टीवी और ऑक्ट इस लमर एल अगेंस्ट,,  Both model prediction and ground truth wrong
account girls, अकाउंट वेर स,, Incorrect Prediction of repetition of words
account balance Kya Hai Mera, अकाउंट बैलेंस क्या है मेरा,, No mistake
Airtel thanks, एयरटेल थंक,, Similar Sounding Word Predicted
coupons, कुप्स,, Incorrect Single Word Prediction
netwall, ने,, Doesnt pick up English
Aaj Ka Mausam kaisa hai, आज कम संख्या से ब,, Incorrect Prediction of repetition of words
500 rupaye wala, 500 नो रुपये वाला,, Wrong Ground Truth
555 Ja, बार 100 पचा,, Doesnt pick up English
caller tune set kaise karte hain, की जाता है,, Random Prediction
India versis Newzealand match, इंडिया वैसे विजन में लाइ,,  Both model prediction and ground truth wrong
Khargosh, मुझे,, Fast Spoken Sentence
Airtel TV Kinjal raha hai, आईए टीटी इन चल रहा है,,  Both model prediction and ground truth wrong
caller tune Kaise lagaen, कॉलर ट्यून कैसे लगाए,, Similar Sounding Word Predicted
India versis Newzealand match, इंडिया वैसे विजन में लाइ,, Last word verb missing
Pehli Baar Airtel app download, पहली बार एयरटेल डाउनलोड के जब मुफ्त डाटा मिलता है कहा है,, Wrong Ground Truth
available data balance, वैलेबल डाटा बैलेंस,, Incorrect Prediction of repetition of words
available data balance, वैलेबल डाटा बैलेंस,, Incorrect Single Word Prediction
I want to share my data pack with another Airtel SIM how can I, आइ वांट दो शेल माइ डाटा बैक वित अनोथर एयरटेल सिम होक,, Incorrect Prediction of repetition of words
yes, येस,, No mistake
399, 399,, No mistake
how to make money,,, No mistake
recharge,,, No mistake
vidmate, 3 वे,,  Both model prediction and ground truth wrong
god bless him I hope I will go on seeing them forever, गॉड ब्लेस हिम आइ होप इल गोन सीइंग थेम फॉरेवर,, Similar Sounding Word Predicted
unable to make and receive calls,,, Doesnt pick up English
balance mein se recharge kaise karen, बैलेंस में से रिचार्ज कैसे करें,, No mistake
caller tune, कल हर टून,, Incorrect Prediction of repetition of words
Holi Mein Kisko Rang lagaen, होली में स्कोर लगाए,, Incorrect Prediction of repetition of words
free net pack, फ्री इट पक,, Doesnt pick up English
hello, के लोग,, Random Prediction
give me the hello tunes, गिव मी द हेलोटून,, Similar Sounding Word Predicted
search, 6,, Doesnt pick up English
till what time it how long it will take it it's about 5 to 6 hours now can you please sort it out as soon as possible have to,do some urgent  टेल वाट टाइम इट हाउ लॉन्गड विल डेव इट इट्स अबाउट 502 सी और स्माउथ एंड प्लीस सो डिड आउट आस 1 आस पोस्सिबल,हाव,दो डु 713  Random Prediction
balance kitna hai, बैलेंस कितना है,, No mistake
s e x, सी य,, Random Prediction
main Bhilwada mein jana chahta hun, आइ मैं बिल वाले जाना चाहता हूं,, Doesnt pick up English
Tum Hamesha Aise karte ho pahle Mera Dil todte Ho ringtone, तुम हमेशा से कर पहले मेरा दिल तोड़ तेरिंग टॉन,, Random Prediction
hello tune Kaise Lagani Hai is app per, हेलो ट्यून गैस वाली है इस एप पर,, Incorrect Prediction of repetition of words
data balance, डाटा बैलेंस,, No mistake
aap bahut bure ho, आप वहां तो बुरे हो,, Incorrect Prediction of repetition of words
Motu Patlu, वाट ए ब्लू,, Random Prediction
